Category_id	Category_name
1	plant-based-foods-and-beverages
2	aides-culinaires
3	alcoholic-beverages
4	anticaking-agents
5	appetizers
6	bee-products
7	beef
8	beef-steaks
9	beverages
10	bicarbonates-of-soda
11	bird-eggs
12	biscuits
13	biscuits-and-cakes
14	breads
15	breakfast-cereals
16	breakfasts
17	brown-sugars
18	butter-milk
19	cakes
20	camemberts
21	candies
22	cane-sugar
23	canned-carrots
24	canned-foods
25	canned-legumes
26	canned-peas
27	canned-plant-based-foods
28	canned-vegetables
29	carbonated-drinks
30	carbonated-waters
31	cassonades
32	cereal-flakes
33	cereal-semolinas
34	cereales-au-chocolat
35	cereals-and-potatoes
36	cereals-and-their-products
37	cheeses
38	chicken-ham
39	chickens
40	chips-and-fries
41	chocolate-biscuits
42	chocolate-molds
43	chocolate-rabbits
44	chocolates
45	coconut-ice-cream-tubs
46	condiments
47	confectioneries
48	cooked-pressed-cheeses
49	cow-cheeses
50	creams
51	crisps
52	dairies
53	dairy-desserts
54	dessert-creams
55	desserts
56	diet-biscuits
57	durum-wheat-semolinas
58	durum-wheat-semolinas-for-couscous
59	easter-chocolates
60	eggs
61	emmentaler
62	extra-virgin-olive-oils
63	farming-products
64	fats
65	fermented-milk
66	financiers
67	flakes
68	flavoured-syrups
69	food-additives
70	boulangerie
71	oeufs-de-lompe-noirs
72	salade-composee-vegetale
73	subsitut-de-repas
74	free-range-eggs
75	french-cheeses
76	french-emmentaler
77	fresh-foods
78	fresh-ground-beef-steaks
79	fresh-ground-steaks
80	fresh-legumes
81	fresh-meats
82	fresh-plant-based-foods
83	fresh-vegetables
84	fromage-au-lait-de-chevre
85	frozen-desserts
86	frozen-foods
87	fruit-based-beverages
88	fruit-juices-and-nectars
89	fruit-nectars
90	fruit-stirred-yogurts
91	fruit-yogurts
92	fruits-and-vegetables-based-foods
93	galette-de-tofu
94	goat-cheese
95	grated-cheese
96	grated-emmentaler
97	green-peas
98	groceries
99	ground-beef-steaks
100	ground-steaks
101	hams
102	honeys
103	huile-d-olive-vierge-extra-bio
104	hummus
105	ice-cream-tubs
106	ice-creams
107	ice-creams-and-sorbets
108	industrial-cheese
109	juices-and-nectars
110	legume-seeds
111	legumes
112	legumes-and-their-products
113	lemon-syrups
114	lemon-yogurts
115	macedoines-de-legumes-en-conserve
116	mayonnaises
117	meals
118	meat-analogues
119	meats
120	miels-d-acacia
121	milks
122	mineral-waters
123	natural-mineral-waters
124	nectars-de-coco
125	non-alcoholic-beverages
126	non-sugared-beverages
127	oat-flakes
128	olive-oils
129	olive-tree-products
130	pains-de-mie-complet
131	pains-de-mie-sans-croute
132	pasteurized-cheeses
133	pastis
134	peas
135	petits-pois-et-carottes
136	plant-based-beverages
137	plant-based-foods
138	plant-based-foods-and-beverages
139	plant-based-spreads
140	poultries
141	prepared-meats
142	pulses
143	salted-spreads
144	salts
145	salty-snacks
146	sauces
147	saucissons
148	saucissons-secs
149	sausages
150	sea-salts
151	seasonings
152	seeds
153	sliced-breads
154	soft-cheeses-with-bloomy-rind
155	soy-sauces
156	specialites-vegetales-a-base-de-tofu
157	spices
158	spreads
159	spring-waters
160	steaks
161	stirred-yogurts
162	sugared-beverages
163	sugars
164	sugary-snacks
165	sweet-spreads
166	sweetened-yogurts
167	sweeteners
168	syrups
169	terrine
170	terrines-de-campagne
171	tofu
172	tofu
173	vegetable-fats
174	vegetable-oils
175	vegetables-based-foods
176	waters
177	wheat-semolinas
178	white-hams
179	yogurts
