Traces_id	
1	3700029205727
1	3165440006702
1	20154974
2	3250392262112
3	3700029205727
3	3560070261369
3	3175681060524
3	3228857000197
4	7610700607046
5	3560070261369
5	3259010301400
5	3222476116239
5	3250392262112
6	3165440006702
6	3175681060524
7	3165440006702
7	3175681060524
7	3228857000197
7	8718836392429
7	3564709019888
7	3560070407613
8	3165440006702
8	20154974
8	3228857000197
9	3700029205727
9	3560070261369
9	3175681060524
9	3228857000197
9	3222476116239
9	3564709019888
9	3560070407613
9	3369572804544
10	3560070261369
10	3222476116239
10	3560070407613
11	3700029205727
12	20154974
13	3228857000197
13	3222476116239
13	3250392262112
13	3560070407613
